Marital_Status,Application_Type,Application_Order,Academic_Path,Daytime_Attendance,Previous_Qualification,Previous_Qualification_(Grade),Nationality,Admission_Grade,Displaced,Special_Needs,Debtor,Tuition_Current,Gender,Scholarship_Holder,Age_At_Enrollment,1st_Sem_Units_Credited,1st_Sem_Units_Enrolled,1st_Sem_Units_Evaluations,1st_Sem_Units_Approved,1st_Sem_Units_Grade,1st_Sem_Units_Without_Evaluations,2nd_Sem_Units_Credited,2nd_Sem_Units_Enrolled,2nd_Sem_Units_Evaluations,2nd_Sem_Units_Approved,2nd_Sem_Units_Grade,2nd_Sem_Units_Without_Evaluations,Unemployment_Rate,Inflation_Rate,GDP,Dropped_Out
single,Change of course and/or institution,Second Choice,Management,1,Secondary education,140.0,Portuguese,122.9,0,0,0,1,Female,0,55,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,1
divorced,Over 23 years old,Second Choice,Management,0,Secondary education,120.0,Portuguese,113.9,1,0,0,1,Female,0,39,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,0
single,Diploma Holder,Second Choice,Equinculture,1,Technological specialization course,120.0,Other,120.0,0,0,1,0,Female,0,20,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,1
single,1st Phase,Other,Journalism and Communication,1,Secondary education,126.0,Portuguese,121.1,0,0,1,1,Female,0,18,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,1
single,1st Phase,Third Choice,Management,1,Secondary education,133.0,Portuguese,120.4,1,0,0,1,Female,0,22,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,0
single,1st Phase,Other,Nursing,1,Secondary education,103.0,Portuguese,100.6,1,1,0,1,Female,0,22,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,0
single,2nd phase - general contingent,Second Choice,Journalism and Communication,1,Secondary education,120.0,Portuguese,121.4,0,0,0,0,Female,0,20,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,1
single,Over 23 years old,Second Choice,Management,0,Secondary education,133.1,Portuguese,109.7,0,0,0,1,Female,0,29,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,1
single,2nd phase - general contingent,Second Choice,Management,0,Secondary education,154.0,Portuguese,134.1,0,0,0,1,Female,0,24,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,0
single,2nd phase - general contingent,Third Choice,Social Service,1,Secondary education,130.0,Portuguese,127.6,1,0,0,1,Female,0,18,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,0
single,2nd phase - general contingent,Other,Nursing,1,Secondary education,132.0,Portuguese,132.4,1,0,0,1,Female,1,22,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,0
single,Diploma Holder,Second Choice,Social Service,0,Technological specialization course,130.0,Portuguese,133.4,0,0,0,1,Female,1,21,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,0
single,1st Phase,Second Choice,Social Service,1,Secondary education,139.0,Portuguese,126.1,0,0,0,1,Female,1,19,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,0
single,Over 23 years old,Second Choice,Tourism,1,Secondary education,130.0,Portuguese,113.5,0,0,0,1,Female,1,24,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,0
single,1st Phase,Second Choice,Nursing,1,Secondary education,139.0,Portuguese,121.3,1,0,0,1,Female,1,19,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,0
single,1st Phase,Second Choice,Journalism and Communication,1,Secondary education,127.0,Portuguese,121.8,1,0,0,1,Female,1,20,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,0
single,1st Phase,Other,Equinculture,1,Secondary education,167.0,Portuguese,159.3,0,0,0,1,Female,0,19,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,0
single,Over 23 years old,Second Choice,Management,0,Secondary education,130.0,Portuguese,120.0,0,0,0,1,Female,0,27,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,1
single,1st Phase,Second Choice,Nursing,1,Secondary education,130.0,Portuguese,129.1,1,0,0,1,Female,0,18,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,0
married,Holders of other higher courses,Second Choice,Tourism,1,Higher education - degree,130.0,Portuguese,130.0,0,0,0,1,Female,0,39,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,1
single,Over 23 years old,Second Choice,Equinculture,1,Higher education - degree (1st cycle),129.0,Portuguese,155.3,1,0,0,1,Female,0,27,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,1
single,2nd phase - general contingent,Second Choice,Nursing,1,Secondary education,141.0,Portuguese,139.8,1,0,0,1,Female,0,18,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,0
single,1st Phase,Other,Animation and Multimedia Design,1,Secondary education,125.0,Portuguese,115.2,1,0,0,1,Female,0,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,0
single,1st Phase,Third Choice,Nursing,1,Secondary education,125.0,Portuguese,114.9,0,0,0,1,Female,0,18,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,0
single,Diploma Holder,Second Choice,Social Service,1,Technological specialization course,130.0,Portuguese,131.9,0,0,0,1,Female,1,21,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,0
single,2nd phase - general contingent,Other,Animation and Multimedia Design,1,Secondary education,133.0,Portuguese,126.0,1,0,0,1,Male,1,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
single,2nd phase - general contingent,Second Choice,Communication Design,1,Secondary education,127.0,Portuguese,130.2,1,0,0,1,Male,0,19,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,0
single,Change of course and/or institution,Second Choice,Communication Design,1,Secondary education,116.0,Portuguese,120.9,0,0,0,1,Male,0,24,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,0
divorced,Transfer,Second Choice,Nursing,1,Below Secondary,133.1,Portuguese,126.0,1,0,0,1,Male,0,29,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,1
single,1st Phase,Other,Animation and Multimedia Design,1,Secondary education,139.0,Portuguese,128.2,1,0,0,1,Male,1,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
single,Diploma Holder,Second Choice,Agronomy,1,Technological specialization course,130.0,Portuguese,130.0,1,0,0,1,Male,0,23,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,0
single,1st Phase,Other,Management,1,Secondary education,125.0,Portuguese,120.1,0,0,1,1,Male,0,19,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,1
single,Over 23 years old,Second Choice,Tourism,1,Secondary education,160.0,Portuguese,100.0,0,0,0,1,Male,0,26,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,0
single,2nd phase - general contingent,Second Choice,Management,1,Secondary education,148.0,Portuguese,134.0,0,0,0,1,Male,0,18,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0
single,2nd phase - general contingent,Second Choice,Nursing,1,Secondary education,150.0,Portuguese,130.8,0,0,0,1,Male,0,24,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,0
single,1st Phase,Second Choice,Animation and Multimedia Design,1,Secondary education,141.0,Portuguese,135.8,1,0,0,1,Male,0,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,1
single,2nd phase - general contingent,Other,Tourism,1,Secondary education,118.0,Portuguese,111.7,1,0,0,1,Male,0,18,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,1
single,1st Phase,Third Choice,Journalism and Communication,1,Secondary education,142.0,Portuguese,132.9,1,0,0,1,Male,0,18,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,0
single,2nd phase - general contingent,Other,Management,1,Secondary education,120.0,Portuguese,115.5,1,0,1,1,Male,0,18,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,1
single,3rd phase - general contingent,Other,Tourism,1,Secondary education,106.0,Portuguese,106.0,1,0,0,1,Male,1,21,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,1
single,2nd phase - general contingent,Other,Journalism and Communication,1,Secondary education,121.0,Portuguese,120.3,1,0,1,1,Male,1,19,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,0
single,2nd phase - general contingent,Other,Nursing,1,Secondary education,150.0,Portuguese,130.8,0,0,0,1,Male,1,22,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,0
married,Over 23 years old,Second Choice,Social Service,0,Secondary education,120.0,Portuguese,117.0,0,0,0,1,Male,0,33,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,0
single,1st Phase,Other,Basic Education,1,Secondary education,114.0,Portuguese,110.2,1,0,0,1,Male,0,20,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,1
single,Over 23 years old,Second Choice,Management,0,Bachelor's degree,140.0,Portuguese,155.7,1,0,0,1,Male,0,35,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,1
single,Over 23 years old,Second Choice,Agronomy,1,Master's,160.0,Portuguese,180.4,0,0,1,1,Male,0,24,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,1
single,2nd phase - general contingent,Second Choice,Tourism,1,Secondary education,120.0,Portuguese,125.5,0,0,0,1,Male,0,18,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,0
married,Over 23 years old,Second Choice,Social Service,0,Secondary education,130.0,Portuguese,110.0,1,0,0,1,Female,0,33,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,0
single,Transfer,Second Choice,Nursing,1,Secondary education,160.0,Portuguese,161.0,1,0,0,1,Female,1,22,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,0
single,Over 23 years old,Second Choice,Advertising and Marketing Management,1,Secondary education,120.0,Portuguese,100.0,0,0,0,1,Female,1,25,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,0
single,2nd phase - general contingent,Second Choice,Communication Design,1,Secondary education,124.0,Portuguese,117.6,1,0,0,1,Male,0,20,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,0
single,1st Phase,Other,Management,1,Secondary education,143.0,Portuguese,128.7,1,0,0,1,Male,0,23,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,0
single,Change of course and/or institution,Third Choice,Informatics Engineering,1,Secondary education,115.0,Portuguese,112.2,1,0,1,1,Male,0,18,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,0
single,Over 23 years old,Second Choice,Nursing,1,Secondary education,133.1,Portuguese,100.8,0,0,0,1,Male,0,24,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,1
single,2nd phase - general contingent,Third Choice,Journalism and Communication,1,Secondary education,133.1,Other,105.0,1,0,0,0,Female,0,21,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,0
single,International student (bachelor),Second Choice,Equinculture,1,Secondary education,133.1,Other,100.0,0,0,0,1,Female,0,26,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,1
married,Over 23 years old,Second Choice,Basic Education,1,Below Secondary,133.1,Portuguese,115.5,0,0,0,1,Female,0,39,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,1
married,Over 23 years old,Second Choice,Social Service,0,Secondary education,133.1,Portuguese,114.0,0,0,0,1,Female,0,44,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,0
single,International student (bachelor),Second Choice,Informatics Engineering,1,Secondary education,130.0,Other,137.0,1,0,0,1,Male,0,19,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,0
single,1st Phase,Other,Journalism and Communication,1,Secondary education,135.0,Portuguese,124.9,1,0,0,1,Female,0,18,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,0
single,1st Phase,Other,Nursing,1,Secondary education,132.0,Portuguese,120.3,1,0,0,1,Female,1,18,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,0
single,1st Phase,Second Choice,Veterinary Nursing,1,Secondary education,135.0,Portuguese,134.3,1,0,0,1,Female,0,19,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,0
single,1st Phase,Other,Nursing,1,Secondary education,115.0,Portuguese,111.5,1,0,1,0,Female,0,19,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,1
single,Diploma Holder,Second Choice,Veterinary Nursing,1,Professional higher technical course,130.0,Portuguese,128.8,0,0,0,1,Female,0,21,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,1
single,1st Phase,Other,Animation and Multimedia Design,1,Secondary education,133.1,Portuguese,110.0,1,0,0,1,Female,0,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,0
married,Over 23 years old,Second Choice,Social Service,0,Secondary education,130.0,Portuguese,113.5,1,0,0,1,Female,0,36,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,1
divorced,Over 23 years old,Second Choice,Agronomy,1,Below Secondary,133.1,Portuguese,160.0,0,0,0,1,Female,0,43,13,18,19,18,14.63157894736842,0,10,13,14,13,14.23076923076923,1,15.5,2.8,-4.06,0
single,3rd phase - general contingent,Second Choice,Basic Education,1,Secondary education,123.0,Portuguese,117.4,1,0,0,1,Female,0,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,1
single,Change of course and/or institution,Second Choice,Communication Design,1,Secondary education,130.0,Portuguese,122.2,0,0,1,1,Female,0,20,4,10,12,10,13.0,0,5,11,11,11,12.272727272727272,0,11.1,0.6,2.02,0
single,1st Phase,Third Choice,Social Service,1,Secondary education,122.0,Portuguese,118.2,1,0,0,1,Female,0,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,1
single,1st Phase,Second Choice,Veterinary Nursing,1,Secondary education,113.0,Portuguese,106.7,1,0,0,1,Female,0,20,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,1
single,1st Phase,Other,Nursing,1,Secondary education,111.0,Portuguese,108.2,1,0,0,1,Female,0,20,2,7,9,6,13.266666666666666,0,0,7,10,5,12.3,0,12.4,0.5,1.79,1
single,2nd phase - general contingent,Third Choice,Basic Education,1,Secondary education,133.1,Portuguese,107.0,1,0,0,1,Female,0,20,0,7,12,6,11.666666666666666,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,0
single,1st Phase,Second Choice,Social Service,1,Secondary education,142.0,Portuguese,136.1,1,0,0,1,Female,0,18,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,0
single,2nd phase - general contingent,Third Choice,Management,1,Secondary education,123.0,Portuguese,115.3,1,0,0,1,Female,1,18,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,0
single,1st Phase,Second Choice,Veterinary Nursing,1,Secondary education,131.0,Portuguese,139.8,1,0,0,1,Female,0,19,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,0
single,1st Phase,Other,Journalism and Communication,1,Secondary education,158.0,Portuguese,157.0,1,0,0,1,Female,0,18,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,0
single,2nd phase - general contingent,Third Choice,Nursing,1,Secondary education,122.0,Portuguese,131.0,1,0,0,1,Female,0,18,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,7.6,2.6,0.32,1
single,Change of course and/or institution,Second Choice,Nursing,1,Secondary education,130.0,Portuguese,100.0,0,0,0,1,Female,0,20,0,7,11,6,11.616666666666667,0,0,7,7,7,13.0,0,13.9,-0.3,0.79,0
single,2nd phase - general contingent,Second Choice,Social Service,1,Secondary education,154.0,Portuguese,140.4,1,0,0,1,Female,1,20,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,0
single,2nd phase - general contingent,Second Choice,Management,1,Secondary education,120.0,Portuguese,113.4,0,0,0,1,Female,0,20,0,5,11,3,10.333333333333334,0,0,5,10,3,10.666666666666666,0,12.4,0.5,1.79,0
single,1st Phase,Third Choice,Veterinary Nursing,1,Secondary education,140.0,Portuguese,137.0,0,0,0,1,Female,0,18,0,5,12,5,13.142857142857142,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,0
single,1st Phase,Second Choice,Management,1,Secondary education,127.0,Portuguese,121.8,0,0,0,1,Female,0,18,0,5,5,5,12.6,0,0,5,5,5,14.0,0,11.1,0.6,2.02,0
single,2nd phase - general contingent,Second Choice,Tourism,1,Secondary education,133.1,Portuguese,131.0,1,0,0,1,Female,0,21,0,6,12,3,11.0,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,1
single,1st Phase,Third Choice,Management,1,Secondary education,120.0,Portuguese,118.6,1,0,0,1,Female,0,19,0,5,8,5,10.8,0,0,5,9,4,11.25,2,16.2,0.3,-0.92,0
single,1st Phase,Second Choice,Animation and Multimedia Design,1,Secondary education,137.0,Portuguese,122.3,0,0,0,1,Female,0,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,1
single,1st Phase,Second Choice,Advertising and Marketing Management,1,Secondary education,131.0,Portuguese,127.9,0,0,0,1,Female,1,19,0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,0
single,1st Phase,Second Choice,Veterinary Nursing,1,Secondary education,130.0,Portuguese,121.3,1,0,0,1,Female,0,19,0,6,15,6,14.166666666666666,0,0,6,13,6,12.2,0,15.5,2.8,-4.06,0
single,2nd phase - general contingent,Other,Oral Hygiene,1,Secondary education,122.0,Portuguese,117.1,1,0,0,1,Female,0,19,0,7,12,5,12.1,0,0,7,0,0,0.0,0,13.9,-0.3,0.79,1
single,Diploma Holder,Second Choice,Veterinary Nursing,1,Technological specialization course,160.0,Portuguese,160.0,1,0,0,1,Female,0,20,1,6,7,6,14.166666666666666,0,1,6,17,5,13.77777777777778,0,12.4,0.5,1.79,0
